,name,price,type,제품명,"수입품의 경우 생산자, 수입자 및 제조국",식품의 유형,제조업소의 명칭과 소재지,"제조연월일(포장일 또는 생산연도), 유통기한 ","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양성분,유전자 변형 식품의 경우 표시,소비자 안전을 위한 주의사항,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,품명 및 모델명,의료기기법상 허가 신고 번호 및 광고사전심의필 유무,정격전압/소비전력,출시년월,제조사,제조국,제품의 사용목적 및 사용방법,취급시 주의사항,품질보증기준,A/S 책임자,품목 또는 명칭,"포장단위별 내용물의 용량(중량), 수량, 크기",생산자,농수산물의 원산지 표시에 관한 법률에 따른 원산지,"제조연월일(포장일 또는 생산연도), 유통기한",관련법상 표시사항,상품구성,보관방법 또는 취급방법,기능정보,"섭취량, 섭취방법, 섭취시 주의사항 및 부작용 발생 가능성",영양정보,질병의 예방 및 치료를 위한 의약품이 아니라는 내용의 표현,KC 인증 필 유무,에너지소비효율등급,크기,발행자,유효기간,교환권 공급자,이용조건,이용 가능 매장,환불조건 및 방법,소비자상담 관련 전화번호,"크기,무게",주요 사양,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,용량 또는 중량,제품 주요 사양,사용기한 또는 개봉 후 사용기간,사용방법,화장품제조업자 및 화장품책임판매업자,화장품법에 따라 기재·표시하여야 하는 모든 성분,기능성 화장품의 경우 화장품법에 따른 식품의약품안전처 심사필 유무,사용할 때 주의사항,소비자상담관련 전화번호,제품 소재,색상,치수,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,품명,구성품,주요 소재,배송 설치 비용,제품구성,세탁방법/취급시 주의사항,서비스 제공 사업자,"취소, 중도해약, 해지 조건 및 환불기준","취소, 환불방법",재질,수입식품안전관리특별법에 따른 수입신고,종류,소재,이동통신 가입조건,도서명,저자,출판사,쪽수,출간일,목차 또는 책소개
118,휴족시간 쿨링시트 6매입 x 3개,"10,900원",health,,,,,,,,,,,,,휴족시간 쿨링시트 6매입,,,,라이온코리아 주식회사,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해당없음,070-4155-8055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"""피곤할땐 입욕제"" 바스솔트 3종세트 (향기가득 힐링선물)","22,000원",health,,,,,,,,,,,,,,,,,,상품상세설명 참조,,,상세페이지 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,200g*3병,상세페이지,제조일로부터 2년,상세페이지,(주)아로마뉴텍,상세페이지 참조,해당사항없음,상세페이지 참조,1544-2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"""100% WPI"" 셀렉스 프로핏 웨이프로틴 드링크 초콜릿/복숭아/아메리카노 1박스 (330mlx12팩)","29,900원",health,상품상세설명 참조,상품상세설명 참조,커피,상품상세설명 참조,"제조일자 : 주문일로부터 6개월 이내, 유통기한: 제조일로부터 12개월",330ml x 12EA,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,해당사항 없음,080-860-1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,'뭘 좋아할지 몰라서 다 준비했어' 털 실내화 슬리퍼 19종 택1 + 더스트백포장,"13,900원",health,,,,,,,,,,,,,,,,,JYG 협력업체,중국,,상품상세설명 참조,상품상세설명 참조,02-6956-6788(월~금10:00~17:00/점심시간13:00~14:00),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"""활력이필요한당신에게"" [추천 BEST] GNC 멀티비타민 + 밀크씨슬 선물세트","29,900원",health,상품상세설명 참조,,건강기능식품,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,"수시로 생산 및 입고, 출고가 되기 때문에 제조일자를 표기하기 어렵습니다. 유통기한은 제조일자부터 2년입니다. 수령일 기준 50% 이내 제조(생산)된 제품이 배송됩니다. 물류고객센터: 02-486-7731 로 연락주시면 자세한 안내가 가능합니다./유통기한: 제품 케이스 하단 또는 제품 옆면 별도 표시, 유통기한 제품표시 기간까지",,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,집순이 빅후드담요 곰도리ver. (빅후드담요+양말+슬리퍼set) (톡별),"34,900원",health,,,,,,,,,,,,,상품상세설명 참조,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"""🎁장건강 선물🎁"" [업그레이드 락토핏] 너에게 꼭 맞는 락토핏 장 건강 생유산균 골드 선물세트 1세트","26,900원",health,상품상세설명 참조,,건강기능식품,인터넷기술서 참조,,"2,000 mg × 30p × 3ea, 1세트",인터넷기술서 참조,,해당 없음,상품상세설명 참조,해당 없음,080-977-3308(수신자부담),,,,,,,,,,,,,,,"본 상품은 수시 제조되는 상품인 관계로 제조연월일에 대한 정보제공이 어렵습니다. 정확한 제조연월일을 확인하시려면 쇼핑몰 고객센터로 문의부탁드립니다.[종근당건강 소비자상담실: 080-977-3308(수신자부담)], 제조일로부터 15개월",,,,"[프로바이오틱스] 유산균 증식 및 유해균 억제에 도움을 줄 수 있음 / 배변활동 원활에 도움을 줄 수 있음 [아연] 정상적인 면역 기능에 필요, 정상적인 세포 분열에 필요","• 섭취량 및 섭취방법 : 1일 1회, 1회 1포씩 섭취하십시오. • 섭취 시 주의사항  - 섭취량 및 섭취방법을 확인하시고 섭취하여 주십시오.  - 유통기한이 경과된 제품은 섭취하지 않도록 주의 바랍니다.   제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기    바랍니다.  -  흡습의 우려가 있으니 개봉한 제품은 바로 섭취하십시오.  특정 성분에 알레르기 체질이신 분은 성분을 확인 후 섭취하여 주십시오.  임산부, 수유부, 만성질환이 있거나 현재 질병치료 중이신 분은 전문의와    상의 후 섭취하십시오.    • 보관방법 : 어린이의 손이 닿지 않고, 직사광선을 피해 서늘한 곳에 보관하십시오.",인터넷기술서 참조,본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,ORGA 액상차 선물세트(꿀유자+꿀모과+꿀생강),"28,900원",health,상품상세설명 참조,상품상세설명 참조,상세페이지 참조,상세페이지 참조,"상세페이지 참조, 상세페이지 참조","상세페이지 참조, 상세페이지 참조",상세페이지 참조,상세페이지 참조,해당사항 없음,상품상세설명 참조,해당사항 없음,080-022-0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"""💖1등 콜라겐💖"" [선물세트&증정]비비랩 저분자피쉬콜라겐 60포(2개월분)+아토스티커 5종","27,900원",health,비비랩 콜라겐 저분자 피쉬콜라겐,해당사항 없음,기타가공품,"F1:코스맥스엔비티(주), 경기도 이천시 마장면 덕평로 663번길 127-16, F2:바이오로제트(주), 강원도 횡성군 우천면 우천산업단지로 37-6",제조년월: 21년 11월 이후 / 유통기한: 23년 11월,2g X 60포,"저분자피쉬콜라겐, 분말결정포도당, 덱스트린, 글리신, 세븐베리농축분말[덱스트린, 세븐베리농축액{블랙베리농축액(칠레산), 블랙커런트농축액(뉴질랜드산), 블루베리농축액, 딸기농축액, 라즈베리농축액}], DL-사과산, 블루베리향(설탕, 합성향료), 과일혼합농축액분말[덱스트린, 과일혼합농축액(이스라엘산)], 비트루트분말, 비타민C, 딸기향(덱스트린, 유당, 합성향료, 펙틴), L-프롤린, 효소처리스테비아, 이산화규소, 니코틴산아미드, 히알루론산혼합제제(덱스트린, 히알루론산), 엘라스틴가수분해물(프랑스산), 수크랄로스(감미료), 비타민A혼합분말(포도당시럽분말, 아라비아검, 옥수수전분, 비타민A초산염, 비타민E), 유산균혼합분말, 건조효모. 우유, 대두 함유","나트륨 90mg 5%, 탄수화물 15g 5%, 당류 9g 9%, 지방 0g 0%, 트랜스지방 0g 0%, 포화지방 0g 0%, 콜레스테롤 0mg 0%, 단백질 42g 76%, 비타민C 900mg 900%",해당없음,"1일 1회1포를 직접 또는 음료에 섞어 섭취하십시오. [섭취시 주의사항] 1) 유통기한을 확인 후 섭취하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다. 2) 특이체질, 알레르기 체질이신 경우 성분을 확인 후 섭취 하시기 바랍니다. 3) 임신？수유부 또는 의약품을 섭취하시는 분은 섭취전 전문가와 상담하여 주십시오. 4) 이상증상이 생길 경우 즉시 섭취를 중단하시고, 전문가와 상담하시거나 소비자 상담실로 문의하시기 바랍니다.  ※본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다. ※본 제품은 공정거래위원회 고시 소비자분쟁해결 기준에 의거 교환 또는 보상받으실 수 있습니다. ※부정 불량 식품 신고는 국번 없이 1399 ※본 제품은 알류(가금류),메밀, 땅콩, 밀, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함) 잣 등을 원재료로 한 제품과 같은 시설에서 제조되었습니다. [보관 시 주의사항] 1) 습기가 적고 직사광선을 받지 않는 서늘한 곳에 보관하십시오. 2) 영,유아 및 어린이의 손이 닿지 않는 곳에 보관하십시오. 3) 제품 개봉 후에는 흡습이 일어날 수 있으니 즉시 섭취하시기 바랍니다.",해당없음,070-4077-1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,[미세스콜드] [스트레스 해소 선물] 천연 아로마 테라피 감성 기프트 세트,"39,900원",health,,,,,,,,,,,,070-7749-7004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,미세스콜드아로마오일라벤더,"일반용(실내공간용), 훈증형",별도표기,10ml,상품상세설명 참조,미세스 콜드,상품상세설명 참조,향료(라벤더 오일),상품상세설명 참조,DB22-12-1825,,,,,,,,,,,,,,,,,,,,
128,"""쌩쌩한 하루를 위한"" 얼라이브 멀티비타민 30정 (1개월분) 3종 택1 / 멀티비타민,맨,우먼","14,900원",health,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,N,"특정질환, 특이체질, 알레르기체질의 경우 과민반응이 나타날 수 있으므로 표기사항 확인 후 섭취요망",Y,02-3295-5051,,,,,,,,,,,,,,,제조연월일: 유통기한으로 부터 2년 / 유통기한: 수입일정에 따른 제품 입고 일정변동으로 인해 고객센터로 연락바랍니다.,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,이 상품은 질병의 예방 및 치료를 위한 의약품이 아닙니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"""김우빈 비타민"" [선물세트] 셀파렉스 멀티비타민(30일분) 4종, 택1 + 쇼핑백","29,900원",health,셀파렉스 에센셜 기프트 세트,,건강기능식품,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,해당사항 없음,상품상세설명 참조,해당사항 없음,080-920-3003,,,,,,,,,,,,,,,유통기한 2023년 5월 이후,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"""비타민선물🎁"" [1년 건강] 고려은단 비타민C 1000 360정 / 월리&미니언즈 에디션","32,000원",health,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,해당사항 없음,상품상세설명 참조,해당사항 없음,상품상세설명 참조,,,,,,,,,,,,,,,수시 생산되어 입고 되므로 정확한 제조연월일 및 유통기한을 확인하시려면 고려은단 고객센터(1644-9950)로 문의 주시기 바랍니다.,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"""온가족 뼈튼튼🦴 "" 종근당 칼슘 마그네슘 비타민D 아연 180정 1박스(3개월분)","13,900원",health,상품상세설명 참조,,건강기능식품,상품기술서참조,,"180g (1,000mgX180정) X 1, 1",상품기술서참조,,해당없음,상품상세설명 참조,해당없음,02-926-3840,,,,,,,,,,,,,,,"본 제품은 제조일에 따라 유통기한이 상이하므로 자세한 날짜는 소비자 상담번호로 문의바랍니다., 유통기한:제조일로부터 24개월",,,,상품기술서참조,상품기술서참조,상품기술서참조,본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"""손목.무릎통증"" 전자파없는 오색약손 다온","22,500원",health,,,,,,,,,,,,,상품상세설명 참조,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"""간건강 피로회복💪"" 종근당 간건강 슈퍼케어 밀크씨슬 30정 4박스(4개월분) /실리마린","22,900원",health,상품상세설명 참조,,건강기능식품,상품기술서참조,,"600mgX30정(18g)/1박스당, 4박스",상품기술서참조,,해당없음,상품상세설명 참조,해당없음,02-926-3840,,,,,,,,,,,,,,,"본 제품은 제조일에 따라 유통기한이 상이하므로 자세한 날짜는 소비자 상담번호로 문의바랍니다., 제조일로부터 24개월",,,,상품기술서참조,상품기술서참조,상품기술서참조,본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"""비오틴&멀티비타민 곰돌이젤리"" 위키드랩 핑크구미베어 1병 비건 구미 젤리 40구미","26,500원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,"유통기한 2024년 1월 이후까지 / 상시제조, 유통기한은 상시제조하여 계속 바뀌는 부분으로 자세한사항은 고객센터로 문의부탁드립니다",상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,수입식품안전관리특별법에 따른 수입신고를 필함,070-4923-3111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"""올인원 명품 비타민"" 리즈랩 바이알이뮨 19종 멀티비타민&미네랄 14입 / DSM사 원료","38,900원",health,리즈랩 바이알 이뮨,,건강기능식품,(주)서흥/충청북도 청주시 흥덕구 오송읍 오송생명로 61,,7EA x 2개/세트,"비타민E혼합제제분말(DL-a-토코페릴초산염,변성전분,말토덱스트린,이산화규소),비타민C,글루콘산아연,니코틴산아미드,비타민B1질산염,아셀렌산나트륨,건조효모1(몰리브덴),비타민B6염산염,푸마르산제일철,건조효모2(크롬),판토텐산칼슘,황산망간,글루콘산동,분말비타민A혼합제제(유성비타민A지방산에스테르,포도당시럽분말,아바리아검,옥수수전분,비타민E),비타민D3혼합제제분말(비타민D3,아라비아검,자당,옥수수전분,가공유지,이산화규소,비타민E),비타민K1혼합제제(비타민K1,아라비아검,자당),엽산,요오드칼륨,비오틴,정제수,열대과일혼합농축액(오렌지농축액,망고농축액,패션프루트농축액,구아바농축액,바나나퓌레),프락토올리고당,말티톨시럽,망고농축액,효소처리스테비아,결정셀룰로스,변성전분,망고향,잔탄검,구연산,구연산삼나트륨,히드록시프로필메틸셀룰로스,해조분말,당근추출물,가교카복시메틸셀룰로스나트륨,이산화규소,황금혼합추출물,스테아린산마그네슘,이산화티타늄(착색료),마늘추출물분말,레몬밤추출물,페퍼민트추출물분말,글리세린지방산에스테르",,해당없음,"1) 임산부, 수유여성, 질병치료 중인 분은 섭취 전 의사와 상담 후 섭취하십시오. 2) 특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취하십시오. 3) 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다. 4) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하십시오. 5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오. 6) 특히 6세 이하는 과량 섭취하지 않도록 주의하십시오. 7) 당뇨병이 있는 경우 섭취 전 전문가와 상담하십시오. 8) 항응고제 등 복용 시 전문가와 상담하십시오.",해당없음,070-4477-4006,,,,,,,,,,,,,,,"2022년 3월 이후 상시제조, 제조일로부터 24개월, 유통기한은 상시제조하여 계속 바뀌는 부분으로 자세한사항은 고객센터로 문의부탁드립니다",,,,상품상세설명 참조,"1일 섭취량 : 1병[액상20ml + 정제(450mg x 2정)] 섭취방법 : 1일 1회 1병을 제품 상단의 실링지를 제거하여 정제를 꺼내 드시고, 뚜껑을 열어 액상을 음용하십시오. 섭취시 주의사항 : 1) 임산부, 수유여성, 질병치료 중인 분은 섭취 전 의사와 상담 후 섭취하십시오. 2) 특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취하십시오. 3) 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다. 4) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하십시오. 5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오. 6) 특히 6세 이하는 과량 섭취하지 않도록 주의하십시오. 7) 당뇨병이 있는 경우 섭취 전 전문가와 상담하십시오. 8) 항응고제 등 복용 시 전문가와 상담하십시오.",상품상세설명 참조,질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"""꽉! 채운 눈건강"" 종근당 20100 파워 루테인 30캡슐 3박스(3개월분) /비타민A 아연 함유","16,900원",health,상품상세설명 참조,,건강기능식품,상품기술서참조,,"500mgX30캡슐/1박스당, 3박스",상품기술서참조,,해당없음,상품상세설명 참조,해당없음,02-926-3840,,,,,,,,,,,,,,,"본 제품은 제조일에 따라 유통기한이 상이하므로 자세한 날짜는 소비자 상담번호로 문의바랍니다., 제조일로부터 24개월",,,,상품기술서참조,상품기술서참조,상품기술서참조,상품기술서참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"""여자친구선물"" 메디힐리 생리 온팩 트윈세트 (허브온팩10개입+허리온팩8개입)/ 찜질팩 브랜드1위 생리선물","26,500원",health,,,,,,,,,,,,,메디힐리 허브온팩 허리온팩,,,,메디힐리,한국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KC인증 B681D001-4002CH,080-745-1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,프레시지 '감동 선물 시그니처 메뉴' 블랙라벨 스테이크 (2인분),"22,900원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조일: 신선식품으로 제품마다 상이합니다. 자세한 문의는 고객센터로 연락 주시기 바랍니다. /유통기한: 제조일로부터 6일,상품상세설명 참조,상품상세설명 참조,해당사항 없음,해당사항 없음,상품상세설명 참조,해당사항 없음,1833-5836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"""집들이/생일선물"" [선물포장/카드] 천연가습기 자연기화식 가습제 정화석+접시","29,900원",health,,,,,,,,,,,,고객센터 070-7424-7711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,천연정화석+접시,상품상세설명 참조,본 상품은 해당 물류센터 직발송 상품인 관계로 제조연월일 및 유통기한 정보가 매번 변경되어 정확한 정보제공이 어렵습니다.,상품상세설명 참조,상품상세설명 참조,대한민국 (주)온다숲,비대상,상품상세설명 참조,상품상세설명 참조,안전확인대상 자가검사번호  천연정화석 CB21-13-0885,,,,,,,,,,,,,,,,,,,,
140,"""건강/회복 추천선물"" 듀오랩 바이옴 플러스 멀티비타민 미네랄 / 레드업 홍삼 비타민B 콤플렉스 60정 (2개월)","18,000원",health,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,해당사항 없음,상품상세설명 참조,해당사항 없음,02-881-5173,,,,,,,,,,,,,,,제조일 : 상시출고 상품으로 정확한 제조일 안내가 어렵습니다. 고객센터 02-881-5173 로 문의 주시기 바랍니다. 유통기한 : 제조일로부터 2년,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,질병의 예방 및 치료를 위한 의약품이 아님,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"""수능/행운/합격"" [레이문] 문구각인 주문제작 드림캐쳐 달 무드등 M사이즈 (아답터포함)","30,000원",health,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,상품상세설명 참조,031-8050-7676,,,,,,,,,,,,,상품상세설명 참조,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,,,,,,,,,,,,무드등,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,
142,"""건강 선물"" 목 어깨 마사지 안마기 스트레칭 도수 베개 스파인핏 [만족도 100%]","52,900원",health,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,
143,[10+5/총15매]포미그 스팀 온열 수면안대 2종 눈건강 관리용품,"14,900원",health,,,,,,,,,,,,,상품상세설명 참조,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,[삼원가든] 등심불고기2EA+두툼떡갈비4EA 세트,"50,500원",health,상품상세설명 참조,해당사항없음,상품상세설명 참조,상품상세설명 참조,"상시 출고 제품으로 제조일이 상이함, 고객센터에 문의 바랍니다. 유통기한은 제조일로 부터 12개월",상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"""부모님선물"" 현미온미 허리 배 찜질팩 (벨트형)","38,300원",health,,,,,,,,,,,,,현미온미 찜질팩,,,,현미온미,대한민국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해당없음,현미온미 1899-1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"""응원"" 프리미엄 설렁탕 선물세트(설렁탕 6팩+탕고기 6팩) 축하/생일상/생일","47,500원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조일 : 상시출고 상품으로 정확한 제조일 안내가 어렵습니다. 고객센터로 문의 주시기 바랍니다.  유통기한 : 제조일로부터 12개월,"설렁탕육수 450g x 6개입, 탕고기 30g x 6개입",상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,해당사항 없음,1566-5266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"""집들이/결혼선물"" [선물포장] 편백오일10ml+피톤치드 스프레이 500ml+편백큐브 섬유탈취제 섬유향수","39,900원",health,,,,,,,,,,,,고객센터 070-7424-7711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,피톤치드 500ml+편백오일 10ml+큐브방향제,"피톤치드 스프레이] 일반용-실내공간용,일반용-물체용 / 분사형-분무기형 // [편백오일] 일반용-가죽용,섬유용,실내공간용,물체용 / 비분사형-액체형,보충형(함침물형)",본 상품은 해당 물류센터 직발송 상품인 관계로 제조연월일 및 유통기한 정보가 매번 변경되어 정확한 정보제공이 어렵습니다.,상품상세설명 참조,상품상세설명 참조,대한민국 (주)온다숲,비대상,상품상세설명 참조,상품상세설명 참조,"안전확인대상 자가검사번호  잎피톤치드수 CB21-13-0857, 편백오일 CB21-13-0884 , 사쉐 CB22-12-1276",,,,,,,,,,,,,,,,,,,,
148,[고소영추천] 치약&가글 6종 선물세트 (연예인 명품치약),"32,000원",health,,,,,,,,,,,,,루치펠로 치약&amp;마우스워시 6종 선물세트,,,,태극제약(주)/(주)바이오에스텍,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,의약외품,고객센터 070-4786-9936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"""수족냉증 온열부츠"" 전자파없는 오색약손 바리온","49,000원",health,,,,,,,,,,,,,상품상세설명 참조,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,[결혼/생일선물] 편백나무볼 디퓨저 선물세트,"36,800원",health,,,,,,,,,,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,디퓨저set 제조연월 - 2021-04-12 / 유통기한 2024-04-12 디퓨저오일 제조연월 - 2021-04-23 / 유통기한 2021-04-23,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,
151,"""여자친구 선물"" ""아랫배를 따뜻하게"" 메디힐리 허브온팩 30개입/ 생리선물 온열 찜질팩 브랜드 1위","37,900원",health,,,,,,,,,,,,,메디힐리 허브온팩,,,,메디힐리,한국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KC인증 B681D001-4002CH,080-745-1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,아르떼 국산 새부리형 KF94 마스크 100매 화이트/블랙,"24,900원",health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,,,상품상세설명 참조,,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,
